Timp,ID_Corp,PozitieX,PozitieY,UnghiPhi,VitezaX,VitezaY,VitezaOmega,AcceleratieX,AcceleratieY,AcceleratieEpsilon
0.5500,3,8.2394,2.1575,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.5840,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.5840,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.5840,3,8.2393,2.1575,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6160,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6160,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6160,3,8.2392,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6500,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6500,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6500,3,8.2390,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6840,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6840,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6840,3,8.2389,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7180,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.7180,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7180,3,8.2388,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7500,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
