Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
1.6300,0,44.3301,-18.8542,-40.1208,0.0000
1.6300,1,196.1996,0.0000,-196.1996,392.3990
1.6680,0,44.3301,-18.8542,-40.1208,0.0000
1.6680,1,196.1996,0.0000,-196.1996,392.3990
1.6960,0,44.3301,-18.8542,-40.1208,0.0000
1.6960,1,196.1996,0.0000,-196.1996,392.3990
1.7300,0,44.3301,-18.8542,-40.1208,0.0000
1.7300,1,196.1996,0.0000,-196.1996,392.3990
1.7620,0,44.3301,-18.8542,-40.1208,0.0000
1.7620,1,196.1996,0.0000,-196.1996,392.3990
1.7620,0,44.3301,-18.8542,-40.1208,0.0000
1.7620,1,196.1996,0.0000,-196.1996,392.3990
1.9340,0,44.3301,-18.8542,-40.1208,0.0000
1.9340,1,196.1996,0.0000,-196.1996,392.3990
1.9720,0,44.3301,-18.8542,-40.1208,0.0000
1.9720,1,196.1996,0.0000,-196.1996,392.3990
1.9880,0,44.3301,-18.8542,-40.1208,0.0000
1.9880,1,196.1996,0.0000,-196.1996,392.3990
2.0200,0,44.3301,-18.8542,-40.1208,0.0000
2.0200,1,196.1996,0.0000,-196.1996,392.3990
2.0540,0,44.3301,-18.8542,-40.1208,0.0000
2.0540,1,196.1996,0.0000,-196.1996,392.3989
2.0880,0,44.3301,-18.8542,-40.1208,0.0000
2.0880,1,196.1996,0.0000,-196.1996,392.3989
2.1200,0,44.3301,-18.8542,-40.1208,0.0000
2.1200,1,196.1996,0.0000,-196.1996,392.3990
2.1520,0,44.3301,-18.8542,-40.1208,0.0000
2.1520,1,196.1996,0.0000,-196.1996,392.3990
2.1860,0,44.3301,-18.8542,-40.1208,0.0000
2.1860,1,196.1996,0.0000,-196.1996,392.3990
2.2180,0,44.3301,-18.8542,-40.1208,0.0000
2.2180,1,196.1996,0.0000,-196.1996,392.3990
2.2520,0,44.3301,-18.8542,-40.1208,0.0000
2.2520,1,196.1996,0.0000,-196.1996,392.3990
2.2860,0,44.3301,-18.8542,-40.1208,0.0000
2.2860,1,196.1996,0.0000,-196.1996,392.3990
2.3200,0,44.3301,-18.8542,-40.1208,0.0000
2.3200,1,196.1996,0.0000,-196.1996,392.3990
2.3520,0,44.3301,-18.8542,-40.1208,0.0000
2.3520,1,196.1996,0.0000,-196.1996,392.3990
2.3840,0,44.3301,-18.8542,-40.1208,0.0000
2.3840,1,196.1996,0.0000,-196.1996,392.3990
