Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
1.5700,0,44.3301,-18.8542,-40.1208,0.0000
1.5700,1,196.1996,0.0000,-196.1996,392.3990
1.6060,0,44.3301,-18.8542,-40.1208,0.0000
1.6060,1,196.1996,0.0000,-196.1996,392.3990
1.6380,0,44.3301,-18.8542,-40.1208,0.0000
1.6380,1,196.1996,0.0000,-196.1996,392.3990
1.6740,0,44.3301,-18.8542,-40.1208,0.0000
1.6740,1,196.1996,0.0000,-196.1996,392.3990
1.7080,0,44.3301,-18.8542,-40.1208,0.0000
1.7080,1,196.1996,0.0000,-196.1996,392.3990
1.7400,0,44.3301,-18.8542,-40.1208,0.0000
1.7400,1,196.1996,0.0000,-196.1996,392.3990
1.7700,0,44.3301,-18.8542,-40.1208,0.0000
1.7700,1,196.1996,0.0000,-196.1996,392.3990
1.8040,0,44.3301,-18.8542,-40.1208,0.0000
1.8040,1,196.1996,0.0000,-196.1996,392.3989
1.8100,0,44.3301,-18.8542,-40.1208,0.0000
1.8100,1,196.1996,0.0000,-196.1996,392.3989
1.8380,0,44.3301,-18.8542,-40.1208,0.0000
1.8380,1,196.1996,0.0000,-196.1996,392.3990
1.8440,0,44.3301,-18.8542,-40.1208,0.0000
1.8440,1,196.1996,0.0000,-196.1996,392.3990
1.8680,0,44.3301,-18.8542,-40.1208,0.0000
1.8680,1,196.1996,0.0000,-196.1996,392.3990
1.8740,0,44.3301,-18.8542,-40.1208,0.0000
1.8740,1,196.1996,0.0000,-196.1996,392.3989
1.9020,0,44.3301,-18.8542,-40.1208,0.0000
1.9020,1,196.1996,0.0000,-196.1996,392.3990
1.9360,0,44.3301,-18.8542,-40.1208,0.0000
1.9360,1,196.1996,0.0000,-196.1996,392.3989
1.9680,0,44.3301,-18.8542,-40.1208,0.0000
1.9680,1,196.1996,0.0000,-196.1996,392.3990
2.0040,0,44.3301,-18.8542,-40.1208,0.0000
2.0040,1,196.1996,0.0000,-196.1996,392.3990
2.0380,0,44.3301,-18.8542,-40.1208,0.0000
2.0380,1,196.1996,0.0000,-196.1996,392.3990
2.0700,0,44.3301,-18.8542,-40.1208,0.0000
2.0700,1,196.1996,0.0000,-196.1996,392.3990
2.1040,0,44.3301,-18.8542,-40.1208,0.0000
2.1040,1,196.1996,0.0000,-196.1996,392.3989
2.1380,0,44.3302,-18.8542,-40.1208,0.0000
2.1380,1,196.1996,0.0000,-196.1996,392.3990
2.1700,0,44.3301,-18.8542,-40.1208,0.0000
2.1700,1,196.1996,0.0000,-196.1996,392.3989
2.2020,0,44.3301,-18.8542,-40.1208,0.0000
2.2020,1,196.1996,0.0000,-196.1996,392.3990
2.2380,0,44.3301,-18.8542,-40.1208,0.0000
2.2380,1,196.1996,0.0000,-196.1996,392.3990
2.2700,0,44.3301,-18.8542,-40.1208,0.0000
2.2700,1,196.1996,0.0000,-196.1996,392.3990
2.3020,0,44.3301,-18.8542,-40.1208,0.0000
2.3020,1,196.1996,0.0000,-196.1996,392.3990
2.3360,0,44.3301,-18.8542,-40.1208,0.0000
2.3360,1,196.1996,0.0000,-196.1996,392.3990
2.3680,0,44.3301,-18.8542,-40.1208,0.0000
2.3680,1,196.1996,0.0000,-196.1996,392.3990
2.4040,0,44.3301,-18.8542,-40.1208,0.0000
2.4040,1,196.1996,0.0000,-196.1996,392.3990
2.4420,0,44.3301,-18.8542,-40.1208,0.0000
2.4420,1,196.1996,0.0000,-196.1996,392.3990
