Timp,ID_Corp,PozitieX,PozitieY,UnghiPhi,VitezaX,VitezaY,VitezaOmega,AcceleratieX,AcceleratieY,AcceleratieEpsilon
0.5020,3,8.2396,2.1575,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.5340,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.5340,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.5340,3,8.2395,2.1575,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.5700,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.5700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.5700,3,8.2393,2.1575,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6020,3,8.2392,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6340,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6340,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6340,3,8.2391,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.6700,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.6700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.6700,3,8.2389,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.7020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7020,3,8.2388,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7360,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.7360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7360,3,8.2387,2.1574,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.7740,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.7740,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.7740,3,8.2386,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8020,3,8.2384,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8360,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8360,3,8.2383,2.1573,-0.0003,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.8680,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.8680,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.8680,3,8.2382,2.1573,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.9020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.9020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.9020,3,8.2381,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.9360,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.9360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.9360,3,8.2379,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
0.9700,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
0.9700,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
0.9700,3,8.2378,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.0000,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.0000,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,3,8.2377,2.1572,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.0360,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.0360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.0360,3,8.2376,2.1571,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.0680,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.0680,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.0680,3,8.2374,2.1571,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.1020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.1020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.1020,3,8.2373,2.1571,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.1340,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.1340,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.1340,3,8.2372,2.1571,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.1680,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.1680,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.1680,3,8.2370,2.1570,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.2020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.2020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.2020,3,8.2369,2.1570,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.2340,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.2340,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.2340,3,8.2368,2.1570,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.2680,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.2680,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.2680,3,8.2367,2.1570,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.3020,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.3020,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.3020,3,8.2365,2.1569,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.3360,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
1.3360,2,7.9088,0.6419,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000
1.3360,3,8.2364,2.1569,-0.0004,-0.0076,0.0034,-0.0003,0.0000,0.0000,0.0000
1.3680,1,4.9246,0.8650,0.1739,-0.0006,0.0035,0.0007,0.0000,0.0000,0.0000
